asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_body_family,global_body_template_risk,near_identical_silhouette_neighbors,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Cormorant,Cormorant,HOLD,FAIL,HOLD,True,Pelicans and diving waterbirds,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","Add long hooked bill, low aquatic body, and longer tail. Broad family routing may be usable, but Cormorant still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Cormorant.png,440,440,RGBA,b8611861ad62fc3053060bb9bd1e8a47268c7e3db36bfbc9b8d1d4bc19be16db,887c15a37e6b87db2323aeacbd940afeb69210a545aca98ae4bf06482257cef0
Cottonmouth,Cottonmouth,HOLD,FAIL,HOLD,True,Venomous snakes,HIGH,Cave_Snake,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Cottonmouth.png,440,440,RGBA,b9050abf97d5bf268089bffd1ca8156e702a324ada23b30a8efe7688707207ef,d61676a97d21f9539f823fa602b88ddd34b50dfe39bc30b8a1812aba7f624143
Cougar,Cougar,FAIL,FAIL,FAIL,True,Big cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The animal is still a tan ungulate. Use a large plain-coated feline scaffold with powerful shoulders/hindquarters, paws, rounded cat head and long heavy tail.",Cougar.png,440,440,RGBA,cdd4f5b80872b1d0e89a776b1cdd49d9b748825002dd6469e22b9e34cdb87653,ca442564482aaba62bc5962e4b9523cade2b110435e6edf3078dde1c1c588f40
Cow,Cow,HOLD,FAIL,HOLD,True,Cattle and bovids,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",Cow.png,440,440,RGBA,1d4c939def0f975fa1650cad48e773b6435a4c34ebd23f4345564ff25c52091b,8228dc5c236c5d9b59067251b0135eb088eda4311d614d582b3f82924ed9d462
Cowrie,Cowrie,HOLD,FAIL,HOLD,True,Gastropods,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Cowrie still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Cowrie.png,440,440,RGBA,469c5c5dfcb2b0ef053179a367244250ed8088196acc025221d9c6ec243a89d4,e506417961d433f8d58ee8783a035aeecc560bde7d67c183d71e7ee3c0b6bbb3
Coyote,Coyote,FAIL,FAIL,FAIL,True,Dogs and dog-like mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current form is deer-like. Use a lean canid chest, narrow waist, digitigrade paws, long pointed muzzle, upright ears and bushy low-carried tail.",Coyote.png,440,440,RGBA,20c53812875d39fa4fd9093cabb5ad2d0034d616446c57e7f903bac1d5ebc95d,b8dffde3f488a46ca4f5f580cf17ddfa4636b53760445913437f19f20ebd7f44
Crab,Crab,HOLD,FAIL,HOLD,True,Ice and cave insects,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Crab.png,440,440,RGBA,bebdcedee006c6bb838a71f0220396d2168699c5c907e48ba7f5e7092c55c367,ef70c1829a45055117cffd07a0965585dd1db3921e89124effcf74a1eaf00ce5
Crane,Crane,HOLD,FAIL,HOLD,True,Cranes and rails,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Crane still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Crane.png,440,440,RGBA,cf25f322e7d187e91380a37527c4d7a7f978a2e4831f13fbfc24f82550ac5b39,42a8e84c888d24baa31a09731e75b5441f2a4a580dd93690e7e7ba8d051db51c
Crayfish,Crayfish,HOLD,FAIL,HOLD,True,Ice and cave insects,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Crayfish.png,440,440,RGBA,d43e10abfb060ce8226a1dbf747db0148929f311082747036a361793c5c7a40f,eb9c469ccc2ca2921bbea8d1c7e7d0427e140c38bd55b27ff542d9cb025c3dca
Cricket,Cricket,HOLD,FAIL,HOLD,True,Grasshoppers and relatives,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Cricket.png,440,440,RGBA,f71169ee680a802418a2dd820d43a35e36b79d641d41ea371f006a0d5bac4a8d,c145195310bc7799968b6fe844dbf96a4a54cf359127a8ffbf92d239cb161f56
Crocodile,Crocodile,FAIL,FAIL,FAIL,True,Crocodilians,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The narrow arrow-like body and weak legs remain. Widen the torso, add a V-shaped robust skull, strong splayed limbs, dorsal armor and thick tapering tail.",Crocodile.png,440,440,RGBA,5cb34e227e875670ec0f565bd669b527c32e5265ea8622c482429afa388956ec,1979a0a1c72fcfed173643528a9e8d9f6fc6d151086141e31d28dc59513d03d1
Crow,Crow,HOLD,FAIL,HOLD,True,Corvids,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The named bird relies too heavily on the shared side-bird template. Correct the bill, neck, body depth, wing length, leg type, tail and crest/display structures for the species.",Crow.png,440,440,RGBA,4126c9a6f7b878dcec936bd9d9cdc469d3da1816a2b34bd2d437f80cbc8d95d6,804b6d6f2faa2817e800c6cdf7861c17619097b0866245bdbbbc6568864a2f02
Curlew,Curlew,HOLD,FAIL,HOLD,True,Shorebirds,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The wader body is acceptable, but the defining very long downcurved bill should be much more prominent.",Curlew.png,440,440,RGBA,a81a66209662b51f75a59c27b6cdd14aa240371151adcbe373224914ec978bcd,22ea4193e427f180b6f71450089d8a2e0752d604ca623808fd17f477e313027a
Cuttlefish,Cuttlefish,FAIL,FAIL,FAIL,False,Cephalopods,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,"The image is still a jelly/bell form. Use a broad oval mantle, continuous lateral fin skirt, visible cephalopod head and eyes, eight short arms plus two longer feeding tentacles.",Cuttlefish.png,440,440,RGBA,b5494df91d21b5282c92ea2723e9c034d7296962e36c25819b7bdf1c5d77c62f,b5494df91d21b5282c92ea2723e9c034d7296962e36c25819b7bdf1c5d77c62f
Damselfish,Damselfish,HOLD,FAIL,HOLD,True,Reef fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Damselfish.png,440,440,RGBA,09e419e96a84fa0ea24d3ed318373147c70c0bf2c3394ee326c94283791240e0,d9aea64b2df6d195b521f96f88c8f68bc51a161c44d5df2a33a7d90c789f538c
Damselfly,Damselfly,FAIL,FAIL,PASS,True,Dragonflies,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,"The current blue segmented form does not show adult damselfly wings. Add two pairs of narrow wings, huge eyes, six thoracic legs and a very slender abdomen; resting wings should align together above the body.",Damselfly.png,440,440,RGBA,485c69a2cc2806af9c333aad5bb42f4cb20506d156348d0d5e9c7253adc5ccc8,0be788360714373fc7231ce96d985d5ad8f2ae05f4647ff3d949e441e1680644
Deep-Sea_Fish,Deep Sea Fish,HOLD,FAIL,HOLD,True,Fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Deep-Sea_Fish.png,440,440,RGBA,3d12a9ed931162809ef58d08dff3a7539f730a4fa4aca4bbce30485a4c05d425,25b8ade947562e40e9d33a96ab74b1fe5e1c3262d06d2b37118d51a9d68c803f
Deep-Sea_Octopus,Deep Sea Octopus,HOLD,FAIL,HOLD,True,Cephalopods,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify mantle form, eye/head placement, arm count, feeding tentacles, fin skirt/fins and rear mantle taper for the named cephalopod.",Deep-Sea_Octopus.png,440,440,RGBA,32f2cbf17c60c5aa8b3869353d67417827766a60c7565677a29e172bd7a0c2d5,6017692e1af4a4cb3b362dffcd2ba115d0b126a737fc5da3a1faa6ea1337a437
Deep-Water_Coral,Deep Water Coral,HOLD,FAIL,HOLD,True,Sessile marine life,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Deep Water Coral still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Deep-Water_Coral.png,440,440,RGBA,f0d3e2873bc46e46b3e31639b6dc89a1c03a42a22d4f63e98a60d82e2b3f1ebe,6c65384623dbbb8bfc7e100ae422a7b10b6e942491af3d69e4bf7ffc8e83f86d
Deer,Deer,HOLD,FAIL,HOLD,True,Deer and relatives,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",Deer.png,440,440,RGBA,0d7870dc19861749ec75c7702386e0946386019b6aa4ba3b698f3e9649e4f0f0,71599e7101145954339e46b721024424c5e82a20e8dbeb819cc8295ea1c274d8
Deer_Tick,Deer Tick,HOLD,FAIL,HOLD,True,Arachnids,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Deer Tick still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Deer_Tick.png,440,440,RGBA,465d5a3b8fa70432f3d3dd9ca59fc3dff08f21c0267e1978590c257f329a50e4,d15f1c87eb94762d07ae0b5aaf432bede056818052324688e13dd2fb1ab6fffc
Desert_Owl,Desert Owl,HOLD,FAIL,HOLD,True,Raptors and owls,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Replace the generic compact bird body with species-correct raptor mass, hooked bill, wing proportions, talons, tail and head/crest.",Desert_Owl.png,440,440,RGBA,962d7c68195523b34bcad51bc4ce5dd760e85f5f7a8212a6cc73be5892e70b42,49277c99cea2a98293b1f74c11964297e59d2592d92fd9e43efc2f97a985d561
Dingo,Dingo,FAIL,FAIL,FAIL,True,Canids,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The body remains a hoofed deer-like quadruped. Use a lean domestic-dog/canid body, paws, pointed muzzle, upright ears and a full brush tail.",Dingo.png,440,440,RGBA,e4c766d50c1094bce4878e977ed7404a7e7ce6b6de1d210acb06057c599ba360,2737fbd26a099febdbe1656c0b0e89a849c35671e99d7069179fa894c60b111a
Diving_Beetle,Diving Beetle,HOLD,FAIL,HOLD,True,Beetles,HIGH,Water_Beetle,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Diving_Beetle.png,440,440,RGBA,c5ebe3fabd777b99eaaf8b61224957efa15df31d012894f38f76d2176b24eee2,7f05c9bc2a1cb3c0314d45f13d4b477e2622343caa16c2ecb008d29a0272a5ea
Dobsonfly,Dobsonfly,HOLD,FAIL,HOLD,True,Insects,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","Add clearer adult insect wings and enlarged mandibles where appropriate. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Dobsonfly.png,440,440,RGBA,2a7b203c2ad285731101e40a9cdcdd03dfb0f1093d3f08d6b8e3a9fb450139a9,67c8868eb02957d79013315c04156bb101157422932d75aa3cdf45eb66644a96
Dog,Dog,FAIL,FAIL,FAIL,True,Canids,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current animal still uses an equid/deer body with hoof-like feet. Replace it with a canine chest, shoulders, hocks, paws, muzzle and tail.",Dog.png,440,440,RGBA,7bfe8b3f6c20e6c27066ba5f034d2fac21cb00848c921d631d5d0eb58b06eee8,e1ea4d73595e24b3f8495d10d77710a93640c552c9a2ec3565ab989700a37ee4
Dolphin,Dolphin,HOLD,FAIL,HOLD,True,Marine mammals,HIGH,Blue_Whale | River_Dolphin,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Strengthen real marine-mammal proportions: streamlined body, species-correct rostrum/head, dorsal fin placement, pectoral flippers, peduncle and horizontal flukes.",Dolphin.png,440,440,RGBA,d3db2d624e06ed97ece05cfd879e2e3878f5bfea3a3f98d438adc7672aea2cd7,7478a4dbebc8af53c10c5b2bd0d87e04c0d370e471524d205bcbeeb9a7c69b84
Donkey,Donkey,FAIL,FAIL,HOLD,True,Horses and relatives,MEDIUM,,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,"The large ears help, but the body is still the same deer-like global ungulate scaffold. Rebuild it on the corrected equid base with a deep barrel, withers, sloped shoulder, articulated equid joints and hooves, a short upright mane and a tufted tail.",Donkey.png,440,440,RGBA,a130ea313b41e572ac2f4b359adc49fdf25486312fca7da81e1625b652f97283,30ce4e018d9612e8b13ecd0e0b0ad3c811e0adadaa1ad8fc6403498dbd05af69
Dove,Dove,HOLD,FAIL,HOLD,True,Pigeons,HIGH,Pigeon,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The named bird relies too heavily on the shared side-bird template. Correct the bill, neck, body depth, wing length, leg type, tail and crest/display structures for the species.",Dove.png,440,440,RGBA,3c67c0c725683cf939ed055b50d635ef6e14ef31a298cf2fedc6a0f2fc1553b1,f67a28e466979d246d706932315bfdaf8714835fe9929fb3c0ff6ddff06df6a1
Dragonfish,Dragonfish,HOLD,FAIL,HOLD,True,Strange deep-sea fish,HIGH,Eel,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Dragonfish.png,440,440,RGBA,55adfb63b034da34fcd2fe665146e1717c11586a96955e012434a011ca51ce0a,9654022fd7728aa13f326befe6ca32214eadcee620bf21ccaf6e576265c66bda
Dragonfly,Dragonfly,PASS,PASS,PASS,True,Dragonflies,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,The adult now has a long segmented abdomen and two wing pairs; the silhouette is sufficiently recognizable.,Dragonfly.png,440,440,RGBA,fc9a9f790489288be17577be5a137f596241e3501c28aa44ec6da17a23ff5a38,80bc0b1a3282d3f0a36d7eeadda6fb42a435a2cbb7456ea9e8e34046339723bf
Dromedary_Camel,Dromedary Camel,FAIL,FAIL,FAIL,True,Camelids,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"One hump is visible but the underlying body is still deer-like. Use a proper long-necked camelid body with padded feet, deep chest and integrated single hump.",Dromedary_Camel.png,440,440,RGBA,bdccabcbe9b0703a418428a5e1c30cff94bdf439d40350b44b90b12deee7a79a,8dc7e705707d8455e97d71d0f9a6e6b8435ca81ea8663a1d8c3a766847dceefb
Duck,Duck,HOLD,FAIL,HOLD,True,Waterfowl,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Duck still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Duck.png,440,440,RGBA,fe6b90af0c2e14a2097dbb97367d9d6de012d2b97f4736ba49cfc7e34c9a30ea,06494a7e0ffa0503e59713d4c056437dc9ad73513d5c51699a2b78b726900559
Dugong,Dugong,HOLD,FAIL,FAIL,False,Marine mammals,LOW,,POLISH,POLISH,POLISH,PASS,POLISH,POLISH,POLISH,"The broad marine-mammal body and paddle tail read, but clarify the downturned snout, foreflippers and horizontal tail flukes while reducing the fish-like segmentation.",Dugong.png,440,440,RGBA,867d48300dd6d7b957abee406c53cddddbf4e5b7c4e346edeedf4c7ee8b0b55a,867d48300dd6d7b957abee406c53cddddbf4e5b7c4e346edeedf4c7ee8b0b55a
Duiker,Duiker,HOLD,FAIL,HOLD,True,Other or uncertain,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Duiker still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Duiker.png,440,440,RGBA,af31c92be4ddd0400a0f1f81c682d4f4962ccbc4f231233059df04ea1a227c31,1e0676ca03b6520e575fb3e1a2b7d2672a5c896c1a107cc36a7ee985ef1d39bd
Dung_Beetle,Dung Beetle,HOLD,FAIL,HOLD,True,Beetles,HIGH,Carrion_Beetle | Ladybug,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Dung_Beetle.png,440,440,RGBA,95c5865ea85b37abbb4d0d4429c56ea2bf56c0e37aa89f8c4561a18ef479e95a,9b0f55edd7d86cff1cf4a218e783daee1f92ce7fc28c0312df03a7b65d3930a0
Eagle,Eagle,FAIL,FAIL,FAIL,True,Birds of prey,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current eagle is a generic rounded bird. Add a strong hooked beak, brow, broad chest, large layered wings, powerful talons and shorter wedge/fan tail.",Eagle.png,440,440,RGBA,670102c61e831eff58c7f234505ba5cc2f2325e2b9af2bbef463d3d526d6c688,956998a9caa2deaa74176a9acc2b3ea97801d856b553a266d543625362d768e0
Eagle_Ray,Eagle Ray,HOLD,FAIL,HOLD,True,Rays and skates,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Eagle Ray still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Eagle_Ray.png,440,440,RGBA,3ad53b8dd8bad7ca0c0a94319198f15a0f6505c4494601ec554b5fea851f18c8,995d43f29f11306d203f1d0b1dac0b9a38ce91724ab99abd361a201b34cfa025
Earthworm,Earthworm,HOLD,FAIL,HOLD,True,Other mollusks,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Earthworm still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Earthworm.png,440,440,RGBA,c6267a30d69202ff584d7ee5770cc623b62a3c268882f717df33bca19f914054,551808d4d4d7c9f76e36491fc85679c75d7bf23a5c199bd55cc9639b203c780c
Echidna,Echidna,HOLD,FAIL,HOLD,True,Egg-laying mammals,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Echidna still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Echidna.png,440,440,RGBA,ee0cc04a255a57f93aaabe96e813461967fdf4e01d2d66a5def93b3b57f6a852,e28e5fd8b72960ab5f243580be3a2d4ef32b909c095325b77956799c61195650
Eel,Eel,HOLD,FAIL,HOLD,True,Elongate fish,HIGH,Dragonfish,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Eel.png,440,440,RGBA,939599c1f16497df5809b15bf14e5dd4acacf3b23b2a4ab0a462790b19ecec1c,a8d5ef18158f8459452407658ed88a8cb5c15e3157d594a4924b0e02573b5952
Egret,Egret,HOLD,FAIL,HOLD,True,Herons and wetland birds,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Keep the wader family but correct the exact bill geometry, neck length, leg/foot proportions, body depth and tail for the named species.",Egret.png,440,440,RGBA,195d6ace8d78858280ff8e5afc3f24421ee8d970b07415add9b87dd0cf266103,44aec1fdfbba1dfedcb95951ad460697cb0d1758a5745cf932f963fb29f5650d
Eider_Duck,Eider Duck,HOLD,FAIL,HOLD,True,Waterfowl,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Eider Duck still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Eider_Duck.png,440,440,RGBA,4aab594bd269d3e8036da7f7cb31dfef898bea55b9c2c51e13723316ca5ee35b,9fe001148201345fbab3260a497166874b196f241284090705586954adef920d
Eland,Eland,HOLD,FAIL,HOLD,True,Cattle and bovids,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",Eland.png,440,440,RGBA,9191679e05d4171b1434a50f2a9cb3613426804ef023b8e0b3ef1ff68f0bc7dc,9293712560ddec83225b36b725d224dab110ed62b587b282b105f6beb8a63bbc
Electric_Eel,Electric Eel,HOLD,FAIL,HOLD,True,Eels,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Electric Eel still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Electric_Eel.png,440,440,RGBA,9cbca38997712b456314e1b638a33efd514d788753c898e61411795a9e7f3515,c93138237edd68cee717a3bb88bbecb9ddd53d37f0b73852ab91e0f8e54b0cae
Elephant,Elephant,HOLD,FAIL,HOLD,True,Elephants,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Elephant.png,440,440,RGBA,0e3fd7d8383c5150ee6cff140e5e795c7fa506a25683f793810ef875ecda0a92,fce270318a34ff4276230aac2b8145ce9dfedecb192d31ae8053b7eca481657f
