category,asset_id,display_name,binary_result,review_band,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,global_body_template_risk,near_identical_silhouette_neighbors,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Jackal,Jackal,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like body lacks canine skull, paws, chest, and narrow jackal proportions.",True,Jackal.png,440,440,RGBA,c9d185dcdc1f3799d92cc2566ec1538d949bcf5b925105438d492309ba16c2f2,,,,,,,,,,,,,,,,,,,,,,,
fauna,Jaguar,Jaguar,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks stocky feline shoulders, broad skull, paws, short powerful legs, and thick tail.",True,Jaguar.png,440,440,RGBA,6fba3241f30dd11e9df0adfb685aa738bcd2053deeeea2ba61ba73c62e7f94b6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Kakapo,Kakapo,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current small flying-bird scaffold lacks a squat flightless parrot torso, owl-like face, heavy legs, and short wings.",False,Kakapo.png,440,440,RGBA,3e9bdd0390a2c92fc9b0fb0114e64911913bb631d093cdfd7eba415626f39be6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Kinkajou,Kinkajou,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic low mammal lacks round face, grasping feet, and long prehensile tail.",True,Kinkajou.png,440,440,RGBA,8e203043bde1dda93fcb628b3e028a4f1b07eecd8f4cd7af4207259d0b48417d,,,,,,,,,,,,,,,,,,,,,,,
fauna,Komodo_Dragon,Komodo Dragon,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current rounded salamander-like body lacks a heavy monitor-lizard torso, powerful limbs, broad head, and muscular tail.",True,Komodo_Dragon.png,440,440,RGBA,39692674128345d857e671e0f68c3e8be75eb16601354d1b323b354467738c77,,,,,,,,,,,,,,,,,,,,,,,
fauna,Kookaburra,Kookaburra,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,Add oversized kingfisher head and heavy bill; current generic bird silhouette is insufficient.,True,Kookaburra.png,440,440,RGBA,b6e2c8c362395596ca1cded3c11b6d620e441cb61a1836f061d958a1243c4477,,,,,,,,,,,,,,,,,,,,,,,
fauna,Leopard,Leopard,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks feline spine, shoulders, paws, cat head, and long muscular tail.",True,Leopard.png,440,440,RGBA,f23598121765c41746df5cab87329bea4972e98a614d26d5feb4abc294eac331,,,,,,,,,,,,,,,,,,,,,,,
fauna,Lobster,Lobster,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current small shrimp form lacks large claws, heavy cephalothorax, segmented abdomen, and tail fan.",False,Lobster.png,440,440,RGBA,99c84d0119547436f2b08c8f82073ec619447be6c007bf8f8ce61477e5cc64bd,,,,,,,,,,,,,,,,,,,,,,,
fauna,Locust,Locust,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead insect lacks enlarged hind legs, wings, segmented abdomen, and grasshopper-like head.",False,Locust.png,440,440,RGBA,7a81b122fd01df368c2d927f24adaf0395a284fd2207fa6416d35395204d1aa6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Lynx,Lynx,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks a feline torso, ear tufts, cheek ruff, large paws, and short tail.",True,Lynx.png,440,440,RGBA,e6c966761d733f2318e1fa0a57e3ffb628de41a4cb4b26e3c503937c6f688e9a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Macaw,Macaw,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic bird lacks a large curved parrot bill, broad head, strong zygodactyl feet, and very long tail.",False,Macaw.png,440,440,RGBA,ff4397d5fb9ecabe5248442f825b82780dc774ca2d16b6bfdb1b8f2b33b97c6e,,,,,,,,,,,,,,,,,,,,,,,
fauna,Mantis,Mantis,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead insect lacks raptorial forelegs, triangular head, long prothorax, and folded wings.",False,Mantis.png,440,440,RGBA,0188bdca4a0e6df79557ab69791928fbc5455286f99f0a773525801d7095b6f1,,,,,,,,,,,,,,,,,,,,,,,
fauna,Meerkat,Meerkat,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,,"Current low quadruped lacks upright sentinel posture, long torso, dark eye patches, digging forefeet, and long tail.",True,Meerkat.png,440,440,RGBA,29854e969d2855c6be1dd5147e05630d2b4144776c1bb5289edf00c41040f300,,,,,,,,,,,,,,,,,,,,,,,
fauna,Mole,Mole,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,Mite | Pseudoscorpion,"Current smooth low body lacks enlarged shovel forefeet, pointed snout, tiny eyes, and short tail.",True,Mole.png,440,440,RGBA,bd20d69c367905b396d45a4b333d24fa26e2dee510bd0da3a631cc09530f63dd,,,,,,,,,,,,,,,,,,,,,,,
fauna,Mosquito,Mosquito,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current body lacks long legs, narrow wings, proboscis, and slender abdomen.",False,Mosquito.png,440,440,RGBA,3aa86486c8a590871bb3afff4f0184e09f34a0d4570b337cd5570b9f5ef64a5c,,,,,,,,,,,,,,,,,,,,,,,
fauna,Narwhal,Narwhal,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,Beluga | Right_Whale | Sperm_Whale,Current whale lacks the defining long spiral tusk and melon-shaped head.,False,Narwhal.png,440,440,RGBA,6eb3e0cb5d514e767d01caf5caa64d6d5ae5353c98930f4280419555bb4074bd,,,,,,,,,,,,,,,,,,,,,,,
fauna,Nilgai,Nilgai,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic ungulate lacks the heavy sloping blue-bull torso, short horns, dewlap, and species-specific head.",True,Nilgai.png,440,440,RGBA,6229fb624a8e0d887c482d04e7f587343d688a74f627db92de3dd098e771b42e,,,,,,,,,,,,,,,,,,,,,,,
fauna,Ocelot,Ocelot,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks low feline torso, cat skull, paws, and long ringed/marked tail.",True,Ocelot.png,440,440,RGBA,cc1ddea08c03f686346b627b7955c4be17efd4ca44171b0af99425b1ccf0da70,,,,,,,,,,,,,,,,,,,,,,,
fauna,Orca,Orca,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic cetacean lacks black-and-white markings, tall dorsal fin, pectoral shape, and robust killer-whale head.",False,Orca.png,440,440,RGBA,26cadc7eb23fb3b0386ecd568d7935148d7c36565ee5b24640f5ff8eb9a1d642,,,,,,,,,,,,,,,,,,,,,,,
fauna,Orchid_Bee,Orchid Bee,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,Aphid | Black_Fly | Cicada | Cold-Adapted_Insect | Termite | Thrips,"Current bead-like insect lacks wings, metallic bee torso, six legs, and pollen-carrying anatomy.",False,Orchid_Bee.png,440,440,RGBA,cd083c191c3c593e39b1c250adc5e1f006ad8bc8e27b5f54fa2d759cdd24e428,,,,,,,,,,,,,,,,,,,,,,,
fauna,Ostrich,Ostrich,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current compact bird lacks the very large flightless body, long neck, powerful two-toed legs, and reduced wings.",False,Ostrich.png,440,440,RGBA,a9602117ca72d7a70a9b2a72a79dec4da8e03d22a514de215c10d2946bcb04c2,,,,,,,,,,,,,,,,,,,,,,,
fauna,Panda,Panda,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Markings are recognizable, but the body is a cow-like quadruped. Use a round ursid torso, short legs, broad bear head, paws, and compact rear.",True,Panda.png,440,440,RGBA,88e9f42238c71cf254d6a2b57daccbd9a7f7bf4f4e32ae344d356f95901e6652,,,,,,,,,,,,,,,,,,,,,,,
fauna,Parrot,Parrot,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current tiny generic bird lacks a curved parrot bill, broad head, grasping feet, and parrot body proportions.",False,Parrot.png,440,440,RGBA,de4088c7a7a286cb0945b9c36432cd6f97015497c8ae627807b21e267ab55442,,,,,,,,,,,,,,,,,,,,,,,
fauna,Poison_Dart_Frog,Poison Dart Frog,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Warning color is present, but the body is an elongated block. Use a compact frog torso, broad head, visible forelegs, folded hind legs, and toe pads.",False,Poison_Dart_Frog.png,440,440,RGBA,d72790147beb88c42fe6c599d4ebecc4cbb7f71f3858de09bbde3efc1d53fa37,,,,,,,,,,,,,,,,,,,,,,,
fauna,Rhea,Rhea,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current compact bird lacks a large flightless torso, long neck, powerful legs, and broad soft wing feathers.",False,Rhea.png,440,440,RGBA,bed72c3189ef524a56654d4e9d952fde25f6de2d592328b76b908845ba968245,,,,,,,,,,,,,,,,,,,,,,,
fauna,Right_Whale,Right Whale,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,Beluga | Narwhal | Sperm_Whale,"Current torpedo body lacks the enormous head, arched mouth, callosities, and absence of a dorsal fin.",False,Right_Whale.png,440,440,RGBA,8f00eafac054bd69441736e91d0afae12e4fb862e39cba947266f94aa8dc53db,,,,,,,,,,,,,,,,,,,,,,,
fauna,Rooster,Rooster,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current wader-like bird lacks comb, wattles, compact chicken torso, hackle/saddle feathers, and arched tail.",False,Rooster.png,440,440,RGBA,e97f4c486227fdf0f0c64e7aae81be4b12daec6c16a02602a6faa081d48af207,,,,,,,,,,,,,,,,,,,,,,,
fauna,Saiga,Saiga,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,Current antelope lacks the defining enlarged downward nasal structure and correct short ringed horns.,True,Saiga.png,440,440,RGBA,49487cfd6f61f843580d71aacf695726646ba8080cac6cc11c3004d2e6680bdd,,,,,,,,,,,,,,,,,,,,,,,
fauna,Sand_Cat,Sand Cat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic ungulate-like body lacks low feline posture, broad head, oversized ears, paws, and long tail.",True,Sand_Cat.png,440,440,RGBA,3a8cb6a3c91af5593b101a42b06b2e4ec0e2c776ebad96f66e89d12068ad5820,,,,,,,,,,,,,,,,,,,,,,,
fauna,Scorpionfly,Scorpionfly,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current form resembles a damselfly. Add an elongated rostrum, two wing pairs, six insect legs, and a curled abdominal tip where appropriate.",True,Scorpionfly.png,440,440,RGBA,f844c6784f68f1c7a9c2bf3aae07219bae1dcc5724a7bc908bc3e0f358198f57,,,,,,,,,,,,,,,,,,,,,,,
fauna,Shark,Shark,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic fish silhouette lacks a clear shark head, gill slits, large pectoral fins, and heterocercal tail.",False,Shark.png,440,440,RGBA,95ee17288d1f1c106815e095d23df12bb2a26c8fa9100f18a2482d2848e34786,,,,,,,,,,,,,,,,,,,,,,,
fauna,Sheep,Sheep,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic ungulate lacks a woolly torso, sheep muzzle, cloven hooves, and appropriate tail/horn treatment.",True,Sheep.png,440,440,RGBA,bf491c38714f72bea1c97d9803f6878ad01fdf6149c7a715f8ebe1f361f20d9f,,,,,,,,,,,,,,,,,,,,,,,
fauna,Sloth,Sloth,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current shaggy ground quadruped is incorrect. Use long curved climbing limbs, hook-like claws, compact torso, and hanging/arboreal posture.",True,Sloth.png,440,440,RGBA,42a4fc2392cdc4b00b9c9a92997b808e32760ebb9fb561d8b7f430fb25349aa6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Sloth_Bear,Sloth Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current boar-like body lacks shaggy bear torso, long flexible muzzle, paws, and chest marking.",True,Sloth_Bear.png,440,440,RGBA,b9dc3356eb87156320c9be6608bbdfa90a172faa4c5325276406336bd99c25c0,,,,,,,,,,,,,,,,,,,,,,,
fauna,Snapping_Turtle,Snapping Turtle,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic wheel-like turtle lacks a large head, hooked beak, ridged shell, powerful legs, and long rough tail.",False,Snapping_Turtle.png,440,440,RGBA,ab9fe77317c82c9d88ca2e3d3d9c02ddab3595a48169a6084fe89297f6a9e5e7,,,,,,,,,,,,,,,,,,,,,,,
fauna,Snow_Leopard,Snow Leopard,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks powerful feline shoulders, large paws, compact ears, and exceptionally thick long tail.",True,Snow_Leopard.png,440,440,RGBA,54ec830ae1c75e82724c818270702a722c209edd1561f22981240d0eec4b84f4,,,,,,,,,,,,,,,,,,,,,,,
fauna,Softshell_Turtle,Softshell Turtle,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic domed turtle lacks a flattened flexible shell, long snorkel-like snout, webbed feet, and broad swimming body.",False,Softshell_Turtle.png,440,440,RGBA,07128c55d6a031509578752b84690ad0aeeaa3e8635a4f663304bb1f98cc0938,,,,,,,,,,,,,,,,,,,,,,,
fauna,Spectacled_Bear,Spectacled Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current boar-like body lacks bear proportions, paws, rounded head, and strong facial spectacle markings.",True,Spectacled_Bear.png,440,440,RGBA,b13fcf3356f8403801cc49f7683641d70b8491c36cb7420de1c244670ac05e86,,,,,,,,,,,,,,,,,,,,,,,
fauna,Spotted_Hyena,Spotted Hyena,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic spotted quadruped lacks a sloping back, heavy forequarters, large skull, and short hindquarters.",True,Spotted_Hyena.png,440,440,RGBA,c6aa2dee768bcfffd5ed7f0760156bb241e203372aae9e71ca24d46776ca8a03,,,,,,,,,,,,,,,,,,,,,,,
fauna,Striped_Hyena,Striped Hyena,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic striped quadruped lacks a sloping back, mane, heavy skull, and short rear.",True,Striped_Hyena.png,440,440,RGBA,3781403941832d8c39fea6c1cf0820d5252c850e424fea61b682869a5c6f3f65,,,,,,,,,,,,,,,,,,,,,,,
fauna,Sturgeon,Sturgeon,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic fish lacks bony scutes, long rostrum, ventral mouth, and shark-like tail.",False,Sturgeon.png,440,440,RGBA,2ed9f3ec222cc579a5a4ed6ed5d19a5498b9e764ce737875a10cb1ddb4cd42c1,,,,,,,,,,,,,,,,,,,,,,,
fauna,Sugar_Glider,Sugar Glider,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,,"Current small quadruped lacks the gliding membrane, large dark eyes, grasping feet, and long stabilizing tail.",True,Sugar_Glider.png,440,440,RGBA,06487d5fab8ee0a74de88e73b473dadd1d6d45c6ced4ef85c238bde1573ebbcf,,,,,,,,,,,,,,,,,,,,,,,
fauna,Sun_Bear,Sun Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current pig-like body lacks a compact bear torso, paws, short muzzle, small ears, and chest crescent.",True,Sun_Bear.png,440,440,RGBA,3239610885d15e6fd66b60665bf630c079a2c1a60c44a1bad78147d4e113806c,,,,,,,,,,,,,,,,,,,,,,,
fauna,Tasmanian_Devil,Tasmanian Devil,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic low mammal lacks a massive head/jaw, stocky front-heavy torso, short legs, and white chest markings.",True,Tasmanian_Devil.png,440,440,RGBA,31f50bc92e8ca19628d1e01135be7157820d790f1d765bba6af87b3336c506a8,,,,,,,,,,,,,,,,,,,,,,,
fauna,Tiger,Tiger,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Stripes are present, but the body is ungulate-like. Use a heavy feline torso, broad skull, muscular shoulders, paws, and long striped tail.",True,Tiger.png,440,440,RGBA,eb24c4fbc1357722f1130eae299adc413b22c660553150508e4abf554aece0c7,,,,,,,,,,,,,,,,,,,,,,,
fauna,Tortoise,Tortoise,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current wheeled-shell silhouette lacks visible elephantine legs, domed shell integration, head/neck posture, and short tail.",False,Tortoise.png,440,440,RGBA,d791c893cb4837fcf0e07b20bd35bdd6468c41d3c7bffe131c50707f0c0b8658,,,,,,,,,,,,,,,,,,,,,,,
fauna,Vampire_Squid,Vampire Squid,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,,"Current fish-like body lacks a cephalopod mantle, webbed arms, large eyes, and trailing filaments.",False,Vampire_Squid.png,440,440,RGBA,458cda2f35e6cd0cdb58a1026e80ca8aaec58d8f12f380bf068ca470f9dd2686,,,,,,,,,,,,,,,,,,,,,,,
fauna,Viperfish,Viperfish,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,Add oversized teeth and a deep-sea predatory head.,True,Viperfish.png,440,440,RGBA,42be9ffb2c2aa9cfa842d7dbf094a3da9ea05d188f805a80c110d49e8666417e,,,,,,,,,,,,,,,,,,,,,,,
fauna,Vulture,Vulture,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic bird lacks bald head/neck, hooked scavenger bill, broad soaring wings, and heavy body.",False,Vulture.png,440,440,RGBA,93d5ca1027e9bfbfeffe1beca39129722fc68c379cdbb818fc1c391b983c3a4a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Water_Strider,Water Strider,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,Chiton,Current tiny bead insect lacks extremely long surface-spanning legs and narrow skating body.,False,Water_Strider.png,440,440,RGBA,22f958617b85210789b968587fa3e184dfeae7c28d78137d1155dedac06200c9,,,,,,,,,,,,,,,,,,,,,,,
fauna,Whale,Whale,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current dark fish-like blob lacks a cetacean body, blowhole/head, pectoral flippers, and horizontal flukes.",False,Whale.png,440,440,RGBA,6f8fe916d31669dfa548e8c7593fcd198559b7dacb8e9e503c9efd33fcff3ac9,,,,,,,,,,,,,,,,,,,,,,,
fauna,Whale_Shark,Whale Shark,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Spots are present, but the body needs a broad flat filter-feeding head, large mouth, stronger gill region, and shark tail.",False,Whale_Shark.png,440,440,RGBA,b4eefae67f81da5d5cc09cfd636b37cace244640e40c469bcc4970a1f4d22429,,,,,,,,,,,,,,,,,,,,,,,
fauna,Wild_Horse,Wild Horse,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic ungulate lacks an equine skull, mane, chest, horse joints/hooves, and flowing tail.",True,Wild_Horse.png,440,440,RGBA,f947195471acd9c293b0fae607ccdd703a3d4e65db0e8927365a0a8a70d2c78f,,,,,,,,,,,,,,,,,,,,,,,
fauna,Wildcat,Wildcat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic spotted quadruped lacks feline torso, paws, cat skull, and full tail.",True,Wildcat.png,440,440,RGBA,068ebc0196b5081ecc409119f95b3540e30a9aa7ee945f6b67dcd87f8e0a0a16,,,,,,,,,,,,,,,,,,,,,,,
fauna,Wolf,Wolf,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like body lacks a powerful canine chest, large paws, wolf muzzle, neck ruff, and full tail.",True,Wolf.png,440,440,RGBA,64973bdc2620e85f8ca392c4e2fe044e4ba5042b25dd0f7e30b4c4f24218c1c2,,,,,,,,,,,,,,,,,,,,,,,
fauna,Woodpecker,Woodpecker,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic songbird lacks a long chisel bill, stiff tail, climbing feet, and upright trunk-clinging posture.",False,Woodpecker.png,440,440,RGBA,4e45df27b611e6b4a523d5f2e599d312e6bd6ee8e08dfbc24719f62d17bdaee9,,,,,,,,,,,,,,,,,,,,,,,
flora,Acai,Acai,FAIL,FAIL,,,,,,,,,,Should read as a palm with dark berry clusters; current thin stem/leaf ladder is not recognizable.,False,Acai.png,440,440,RGBA,7b1f5e7e4936debce9fe784371fb0b5ed2076fb176d6be05ee8a54e471de26cd,,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Angel's_Trumpet,Angel's Trumpet,FAIL,FAIL,,,,,,,,,,Add woody shrub/tree structure with large hanging trumpet flowers.,False,Angel's_Trumpet.png,440,440,RGBA,88db67b9b90510be34cbffa31441b67d8d3bc5ba905c034e5d6f91f71a9a331f,,FAIL,PASS,FAIL,PASS,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Beach_Morning_Glory,Beach Morning Glory,FAIL,FAIL,,,,,,,,,,Use a creeping coastal vine with funnel flowers; current floating white cluster is not recognizable.,False,Beach_Morning_Glory.png,440,440,RGBA,e16587b0f6c1ae6fd8ed2f891267804495aa28903dfac43f0ecf8c70bfc5a029,,FAIL,FAIL,PASS,PASS,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Black_Pepper,Black Pepper,FAIL,FAIL,,,,,,,,,,Use a climbing vine with hanging pepper spikes; current red berry chain is insufficient.,False,Black_Pepper.png,440,440,RGBA,bdf4330d54121d227f13dce9dd53015402855e979af850eb2f24b8e0049926cf,,FAIL,FAIL,PASS,PASS,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Bladderwrack,Bladderwrack,FAIL,FAIL,,,,,,,,,,Add branching brown fronds with paired air bladders.,False,Bladderwrack.png,440,440,RGBA,76a4dadba14275f247039a00f842946b714e92415bc02895804ffc81cbd1c237,,FAIL,PASS,PASS,FAIL,PASS,FAIL,,,,,,,,,,,,,,,,
flora,Buckwheat,Buckwheat,FAIL,FAIL,,,,,,,,,,Use broad leaves and clustered flowers; current cylindrical grain-like form is incorrect.,False,Buckwheat.png,440,440,RGBA,9c2e5798838c2cbe6261d2c9afa437051d5a937d6a955982511a222df6710403,,FAIL,PASS,PASS,FAIL,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Cardamom,Cardamom,FAIL,FAIL,,,,,,,,,,Current low rosette is too generic; add ginger-family leaves and basal flower/seed-pod cues.,False,Cardamom.png,440,440,RGBA,77ff714998471c471e3225d990a30468e68d34f38e5c25fc3c10d4318d48aadc,,FAIL,PASS,PASS,FAIL,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Cinnamon,Cinnamon,FAIL,FAIL,,,,,,,,,,Should be a woody shrub/tree with natural green leaves and bark/cinnamon cue.,False,Cinnamon.png,440,440,RGBA,9fdfecb20fc637fae638e564780e84bf93d7c5e6c2586bd1202c85b360ebcc3d,,FAIL,PASS,FAIL,FAIL,PASS,FAIL,,,,,,,,,,,,,,,,
flora,Cotton,Cotton,FAIL,FAIL,,,,,,,,,,Add multiple cotton bolls and a branching plant body.,False,Cotton.png,440,440,RGBA,afa09d4e216f19b6b135143ade35bf6277b4c49301c48fa0f9560d7375f853af,,FAIL,PASS,PASS,PASS,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Cucumber,Cucumber,FAIL,FAIL,,,,,,,,,,Use a creeping/climbing vine with broad leaves and attached cucumbers.,False,Cucumber.png,440,440,RGBA,3944b36f6ae119a259706085363645fd0fdf1ff8fb5b7921d4587943c25c874e,,FAIL,FAIL,PASS,FAIL,PASS,FAIL,,,,,,,,,,,,,,,,
flora,Dragon_Fruit,Dragon Fruit,FAIL,FAIL,,,,,,,,,,Add climbing/branching cactus stems and attached dragon fruit; current vertical columns are incomplete.,False,Dragon_Fruit.png,440,440,RGBA,ca38827a412551aba8b31f5d1ddfac60b3a21ef866f757261da09d788cf4430d,,FAIL,PASS,FAIL,PASS,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Ivy,Ivy,FAIL,FAIL,,,,,,,,,,Use a climbing vine with lobed leaves and attachment habit.,False,Ivy.png,440,440,RGBA,5f2fbd9a27483721a65b806a445f768923c906a02cd69cb3b77153c9cef65710,,FAIL,FAIL,PASS,FAIL,PASS,FAIL,,,,,,,,,,,,,,,,
flora,Mustard,Mustard,FAIL,FAIL,,,,,,,,,,Current tree-like form is incorrect; use branched herb with yellow flowers and seed pods.,False,Mustard.png,440,440,RGBA,13a493a775cd3cdf29a901f97c7c79465e222a37c18da59251f3c9d850836e42,,FAIL,PASS,FAIL,PASS,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Peanut,Peanut,FAIL,FAIL,,,,,,,,,,Add low compound-leaf plant and underground pod/harvest relationship.,False,Peanut.png,440,440,RGBA,1ecfc92a1896e902ddf099e6665381119212364f431618d507b27f2d526badff,,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,,,,,,,,,,,,,,,,
flora,Sargassum,Sargassum,FAIL,FAIL,,,,,,,,,,Add branching fronds and numerous air bladders; current narrow tuft is insufficient.,False,Sargassum.png,440,440,RGBA,ba533bd2058e48a76a2c80f05d3eb65b538aeccd7276f127de7a2ea47efe0cf3,,FAIL,PASS,PASS,FAIL,PASS,FAIL,,,,,,,,,,,,,,,,
